[2026-05-04 20:09:13.815] Schedulers iniciados...
[2026-05-04 20:09:13.828] PreExecutionChecks iniciados...
[2026-05-04 20:09:13.830] WorkerExecutions iniciados...
[2026-05-04 20:09:13.831] PostProcessings iniciados...
[2026-05-04 20:09:13.831] Sistema en ejecucion...
[2026-05-04 20:09:26.068] Jobs en cola: 51 | Jobs validados: 174 | Jobs fallidos: 52
[2026-05-04 20:09:26.270] Jobs en cola: 51 | Jobs validados: 175 | Jobs fallidos: 53
[2026-05-04 20:09:26.471] Jobs en cola: 52 | Jobs validados: 179 | Jobs fallidos: 53
[2026-05-04 20:09:26.673] Jobs en cola: 53 | Jobs validados: 182 | Jobs fallidos: 54
[2026-05-04 20:09:26.876] Jobs en cola: 53 | Jobs validados: 185 | Jobs fallidos: 55
[2026-05-04 20:09:27.079] Jobs en cola: 52 | Jobs validados: 186 | Jobs fallidos: 58
[2026-05-04 20:09:27.282] Jobs en cola: 51 | Jobs validados: 190 | Jobs fallidos: 58
[2026-05-04 20:09:27.487] Jobs en cola: 53 | Jobs validados: 193 | Jobs fallidos: 59
[2026-05-04 20:09:27.688] Jobs en cola: 51 | Jobs validados: 194 | Jobs fallidos: 61
[2026-05-04 20:09:27.891] Jobs en cola: 53 | Jobs validados: 196 | Jobs fallidos: 62
[2026-05-04 20:09:28.091] Jobs en cola: 51 | Jobs validados: 199 | Jobs fallidos: 63
[2026-05-04 20:09:28.295] Jobs en cola: 52 | Jobs validados: 202 | Jobs fallidos: 64
[2026-05-04 20:09:28.498] Jobs en cola: 49 | Jobs validados: 205 | Jobs fallidos: 65
[2026-05-04 20:09:28.699] Jobs en cola: 50 | Jobs validados: 209 | Jobs fallidos: 65
[2026-05-04 20:09:28.903] Jobs en cola: 49 | Jobs validados: 212 | Jobs fallidos: 66
[2026-05-04 20:09:29.107] Jobs en cola: 50 | Jobs validados: 214 | Jobs fallidos: 66
[2026-05-04 20:09:29.310] Jobs en cola: 49 | Jobs validados: 216 | Jobs fallidos: 68
[2026-05-04 20:09:29.513] Jobs en cola: 48 | Jobs validados: 217 | Jobs fallidos: 71
[2026-05-04 20:09:29.716] Jobs en cola: 48 | Jobs validados: 219 | Jobs fallidos: 73
[2026-05-04 20:09:29.919] Jobs en cola: 47 | Jobs validados: 222 | Jobs fallidos: 74
[2026-05-04 20:09:30.121] Jobs en cola: 45 | Jobs validados: 225 | Jobs fallidos: 75
[2026-05-04 20:09:30.326] Jobs en cola: 44 | Jobs validados: 229 | Jobs fallidos: 75
[2026-05-04 20:09:30.529] Jobs en cola: 46 | Jobs validados: 230 | Jobs fallidos: 76
[2026-05-04 20:09:30.731] Jobs en cola: 46 | Jobs validados: 234 | Jobs fallidos: 76
[2026-05-04 20:09:30.933] Jobs en cola: 48 | Jobs validados: 236 | Jobs fallidos: 78
[2026-05-04 20:09:31.134] Jobs en cola: 48 | Jobs validados: 238 | Jobs fallidos: 80
[2026-05-04 20:09:31.337] Jobs en cola: 47 | Jobs validados: 241 | Jobs fallidos: 81
[2026-05-04 20:09:31.542] Jobs en cola: 44 | Jobs validados: 244 | Jobs fallidos: 82
[2026-05-04 20:09:31.745] Jobs en cola: 42 | Jobs validados: 246 | Jobs fallidos: 84
[2026-05-04 20:09:31.947] Jobs en cola: 39 | Jobs validados: 248 | Jobs fallidos: 84
[2026-05-04 20:09:32.151] Jobs en cola: 40 | Jobs validados: 249 | Jobs fallidos: 87
[2026-05-04 20:09:32.356] Jobs en cola: 40 | Jobs validados: 251 | Jobs fallidos: 89
[2026-05-04 20:09:32.558] Jobs en cola: 38 | Jobs validados: 253 | Jobs fallidos: 91
[2026-05-04 20:09:32.761] Jobs en cola: 36 | Jobs validados: 257 | Jobs fallidos: 91
[2026-05-04 20:09:32.964] Jobs en cola: 36 | Jobs validados: 260 | Jobs fallidos: 92
[2026-05-04 20:09:33.168] Jobs en cola: 34 | Jobs validados: 264 | Jobs fallidos: 92
[2026-05-04 20:09:33.371] Jobs en cola: 34 | Jobs validados: 265 | Jobs fallidos: 93
[2026-05-04 20:09:33.573] Jobs en cola: 35 | Jobs validados: 268 | Jobs fallidos: 94
[2026-05-04 20:09:33.776] Jobs en cola: 36 | Jobs validados: 272 | Jobs fallidos: 94
[2026-05-04 20:09:33.978] Jobs en cola: 34 | Jobs validados: 273 | Jobs fallidos: 97
[2026-05-04 20:09:34.182] Jobs en cola: 34 | Jobs validados: 276 | Jobs fallidos: 98
[2026-05-04 20:09:34.383] Jobs en cola: 34 | Jobs validados: 280 | Jobs fallidos: 98
[2026-05-04 20:09:34.587] Jobs en cola: 34 | Jobs validados: 283 | Jobs fallidos: 99
[2026-05-04 20:09:34.790] Jobs en cola: 34 | Jobs validados: 286 | Jobs fallidos: 100
[2026-05-04 20:09:34.992] Jobs en cola: 35 | Jobs validados: 288 | Jobs fallidos: 100
[2026-05-04 20:09:35.197] Jobs en cola: 35 | Jobs validados: 290 | Jobs fallidos: 102
